"행정구역(시군구)별",2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"서천군",49037,24220,24817,48947,24200,24747,48901,24183,24718
"청양군",30013,15359,14654,30012,15343,14669,30023,15371,14652
"홍성군",97721,48794,48927,97946,48884,49062,98349,49088,49261
"예산군",78310,39283,39027,78177,39215,38962,77960,39119,38841
"태안군",60731,30740,29991,60616,30679,29937,60508,30626,29882
"전북특별자치도",1752921,872493,880428,1751318,871830,879488,1749376,870857,878519
"전주시",641908,315293,326615,641428,315046,326382,640772,314758,326014
"완산구",326737,158715,168022,326221,158418,167803,325793,158197,167596
"덕진구",315171,156578,158593,315207,156628,158579,314979,156561,158418
"군산시",259668,131543,128125,259354,131436,127918,259000,131265,127735
"익산시",269429,134107,135322,268940,133891,135049,268678,133730,134948
"정읍시",103590,51612,51978,103477,51585,51892,103204,51447,51757
"남원시",76664,37614,39050,76479,37554,38925,76350,37465,38885
"김제시",81376,40629,40747,81325,40626,40699,81242,40600,40642
"완주군",98272,50377,47895,98584,50515,48069,98656,50573,48083
"진안군",24455,12493,11962,24476,12494,11982,24468,12469,11999
"무주군",23223,11622,11601,23161,11589,11572,23167,11597,11570
"장수군",20951,10515,10436,20882,10471,10411,20843,10460,10383
"임실군",25884,13331,12553,25861,13330,12531,25838,13328,12510
"순창군",26744,13136,13608,26806,13160,13646,26805,13161,13644
"고창군",51701,25802,25899,51628,25768,25860,51538,25692,25846
"부안군",49056,24419,24637,48917,24365,24552,48815,24312,24503
"전라남도",1802672,908705,893967,1800352,907780,892572,1798435,906995,891440
"목포시",213983,106310,107673,213659,106108,107551,213376,105983,107393
"여수시",271413,138189,133224,271098,138074,133024,270786,137953,132833
"순천시",277950,138728,139222,277646,138644,139002,277539,138599,138940
"나주시",117262,59209,58053,117288,59240,58048,117103,59138,57965
"광양시",152853,80012,72841,152818,80047,72771,152779,80043,72736
"담양군",45272,22899,22373,45165,22852,22313,45059,22802,22257
"곡성군",26844,13335,13509,26803,13304,13499,26768,13283,13485
"구례군",24277,11871,12406,24270,11858,12412,24196,11826,12370
"고흥군",61057,29849,31208,60933,29789,31144,60871,29808,31063
"보성군",37619,18435,19184,37562,18399,19163,37520,18372,19148
"화순군",61177,30278,30899,61088,30270,30818,60966,30200,30766
"장흥군",34950,17084,17866,34877,17075,17802,34810,17041,17769
"강진군",32718,15961,16757,32651,15940,16711,32602,15927,16675
"해남군",64444,32195,32249,64246,32115,32131,64096,32052,32044
"영암군",52331,27359,24972,52180,27279,24901,52129,27272,24857
"무안군",90338,45440,44898,90130,45322,44808,90097,45343,44754
"함평군",30523,15469,15054,30466,15454,15012,30405,15440,14965
"영광군",51670,25849,25821,51609,25815,25794,51552,25777,25775
"장성군",42479,21842,20637,42496,21838,20658,42449,21809,20640
"완도군",46530,23453,23077,46399,23406,22993,46291,23344,22947
"진도군",28938,14413,14525,28880,14386,14494,28860,14383,14477
"신안군",38044,20525,17519,38088,20565,17523,38181,20600,17581
"경상북도",2551370,1288999,1262371,2548440,1287853,1260587,2546960,1287412,1259548
"포항시",492949,250223,242726,492663,250146,242517,492342,250023,242319
"남구",226165,117480,108685,226082,117470,108612,225520,117182,108338
"북구",266784,132743,134041,266581,132676,133905,266822,132841,133981
"경주시",247124,123726,123398,246708,123548,123160,246371,123389,122982
"김천시",137247,68997,68250,136923,68829,68094,136769,68760,68009
"안동시",152751,75440,77311,152657,75432,77225,152733,75495,77238
"구미시",405518,209132,196386,405333,209095,196238,405189,209104,196085
"영주시",100100,49727,50373,99966,49672,50294,100072,49729,50343
"영천시",100110,51133,48977,100206,51170,49036,100195,51208,48987
"상주시",93645,46064,47581,93441,45947,47494,93418,45969,47449
"문경시",68529,33643,34886,68369,33574,34795,68232,33519,34713
"경산시",265801,133593,132208,265738,133550,132188,266075,133748,132327
"의성군",49882,24728,25154,49727,24655,25072,49696,24690,25006
"청송군",24034,12061,11973,23963,12018,11945,23950,12006,11944
"영양군",15642,7807,7835,15587,7789,7798,15553,7763,7790
"영덕군",33982,16227,17755,33898,16194,17704,33782,16154,17628
"청도군",41267,20461,20806,41184,20433,20751,41144,20412,20732
"고령군",30025,15436,14589,30006,15436,14570,30050,15477,14573
"성주군",42038,21982,20056,42001,21967,20034,41971,21934,20037
"칠곡군",110299,57844,52455,109904,57703,52201,109475,57449,52026
"예천군",55304,27216,28088,55221,27175,28046,55127,27120,28007
"봉화군",29531,15043,14488,29432,15005,14427,29356,14968,14388
"울진군",46561,23497,23064,46463,23466,22997,46390,23434,22956
"울릉군",9031,5019,4012,9050,5049,4001,9070,5061,4009
